Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1994-01-11,27.308024898328277,27.308024898328277,27.182429514433206,27.272140502929688,295200,11,1,2,1,1994
1994-01-12,27.290081541609055,27.290081541609055,27.092717375298932,27.18242835998535,158400,12,2,2,1,1994
1994-01-13,27.110658645629883,27.16448523460201,27.074774252981793,27.110658645629883,244300,13,3,2,1,1994
1994-01-14,27.200382456468294,27.27215127561465,27.200382456468294,27.218324661254883,137200,14,4,2,1,1994
1994-01-17,27.218324661254883,27.25420907082806,27.16449804689512,27.218324661254883,17700,17,0,3,1,1994
1994-01-18,27.254196166992188,27.290080559575458,27.200369578117286,27.254196166992188,166400,18,1,3,1,1994
1994-01-19,27.21831275385992,27.254197147734487,27.1286017691735,27.18242835998535,200800,19,2,3,1,1994
1994-01-20,27.21831177440892,27.272138363283823,27.200369578117286,27.254196166992188,281100,20,3,3,1,1994
1994-01-21,27.290089428582103,27.290089428582103,27.182436215846078,27.20037841796875,85600,21,4,3,1,1994
1994-01-24,27.18244824820007,27.3080437186538,27.092737197875977,27.092737197875977,373800,24,0,4,1,1994
1994-01-25,27.110679407940797,27.128621618005614,27.038910567681523,27.092737197875977,310400,25,1,4,1,1994
1994-01-26,27.092717144259375,27.182428128180764,27.05683275069082,27.164485931396484,145100,26,2,4,1,1994
1994-01-27,27.218321424504225,27.451570058992395,27.182437019198353,27.415685653686523,344500,27,3,4,1,1994
1994-01-28,27.52333213517311,27.57715872996158,27.48744773864746,27.48744773864746,356500,28,4,4,1,1994
1994-01-31,27.595101552432958,27.73863914178241,27.559217155095592,27.684812545776367,313800,31,0,5,1,1994
1994-02-01,27.64893013149597,27.64893013149597,27.505392531851605,27.541276931762695,303600,1,1,5,2,1994
1994-02-02,27.631003518706386,27.720714569091797,27.6130613086293,27.720714569091797,307600,2,2,5,2,1994
1994-02-03,27.66687875606304,27.66687875606304,27.505398918965394,27.595109939575195,466100,3,3,5,2,1994
1994-02-04,27.595109707343127,27.630994115285056,26.967132568359375,26.967132568359375,1403200,4,4,5,2,1994
