Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2002-06-03,70.28832217933949,70.62306114366267,68.34553222309079,68.50305938720703,26056300,3,0,23,6,2002
2002-06-04,68.35864655388693,69.04780896299833,67.96483874760357,68.67369079589844,25856200,4,1,23,6,2002
2002-06-05,68.88370256105517,69.35627379852716,68.48989486567405,69.31689453125,19695900,5,2,23,6,2002
2002-06-06,69.27096672516838,69.31034600173543,67.70229544643664,67.90576171875,22998500,6,3,23,6,2002
2002-06-07,66.80308711918968,68.2076711963785,66.7637078483924,67.82698822021484,24011600,7,4,23,6,2002
2002-06-10,67.76135698903603,68.56210224236517,67.61695964728328,68.08953094482422,18759900,10,0,24,6,2002
2002-06-11,68.34551572442868,68.61462080917744,66.77028452384087,66.9212417602539,19990700,11,1,24,6,2002
2002-06-12,66.7571765425066,67.47915857961587,66.14677250046505,67.32820129394531,31266000,12,2,24,6,2002
2002-06-13,67.03281576979127,67.60384030126303,66.51430027725571,66.65213775634766,21043900,13,3,24,6,2002
2002-06-14,65.83825857965071,66.65869348372387,64.6502704409647,66.55368041992188,39267500,14,4,24,6,2002
2002-06-17,66.89498260038305,68.48334345510176,66.84903844367756,68.33895111083984,17647200,17,0,25,6,2002
2002-06-18,68.0895554199792,68.93624513116436,68.01735672315061,68.89686584472656,21628500,18,1,25,6,2002
2002-06-19,67.93201101901313,68.54241479658693,67.10501122188862,67.28878784179688,21540700,19,2,25,6,2002
2002-06-20,67.11816076034619,67.63667638074044,66.26490619361361,66.42899322509766,25691000,20,3,25,6,2002
2002-06-21,66.17410952196181,66.47708582758588,64.99513355710326,65.39031982421875,31190700,21,4,25,6,2002
2002-06-24,64.94901382499945,66.31899726324124,64.05325580961558,65.73280334472656,37169700,24,0,26,6,2002
2002-06-25,66.06211484717824,66.45071309889545,64.24425270805122,64.2574234008789,33355000,25,1,26,6,2002
2002-06-26,62.70303441400837,64.64604118378382,62.6964515786494,64.36282348632812,37913600,26,2,26,6,2002
2002-06-27,64.87654219389712,65.52859943431044,63.60535695295325,65.48908233642578,31616400,27,3,26,6,2002
2002-06-28,65.36394713157446,66.1938414765068,65.1268344615938,65.17952728271484,28184200,28,4,26,6,2002
2002-07-01,65.32443248298965,65.73279432442688,63.816134340904,63.90834426879883,20270200,1,0,27,7,2002
2002-07-02,63.79637171757075,64.0203086638644,62.41980069601459,62.55153274536133,34213900,2,1,27,7,2002
2002-07-03,62.32100985563369,63.1245527685565,61.7282281780152,62.907203674316406,30565800,3,2,27,7,2002
2002-07-05,63.743663112356266,65.55493688555329,63.664628927384115,65.4100341796875,19013500,5,4,27,7,2002
2002-07-08,65.19271528892487,65.66693569320962,64.25743512545631,64.59334564208984,19118600,8,0,28,7,2002
2002-07-09,64.36940554967073,64.77117454818668,62.577889580602495,62.966487884521484,28620400,9,1,28,7,2002
2002-07-10,63.22994201014332,63.276046975189814,60.62170750523263,60.674400329589844,50522500,10,2,28,7,2002
2002-07-11,60.437265327293886,61.4845084430891,59.48881493935675,61.16836166381836,59476500,11,3,28,7,2002
2002-07-12,61.47134459788367,61.84018422311591,60.27919362336432,60.49654769897461,39018600,12,4,28,7,2002
2002-07-15,60.35822164164172,60.85879320091981,57.888303127197425,60.819271087646484,77317200,15,0,29,7,2002
2002-07-16,60.01574869778678,60.84563798009032,59.19244224902741,59.64690399169922,53282400,16,1,29,7,2002
2002-07-17,60.89832757077308,61.45159208804551,59.113399887484505,59.76545715332031,48880600,17,2,29,7,2002
2002-07-18,59.73911907767221,60.0025781690696,57.796117700611795,57.82905197143555,32656700,18,3,29,7,2002
2002-07-19,57.144078900988816,57.664409393579895,55.52381174656049,55.793853759765625,77572600,19,4,29,7,2002
2002-07-22,55.392059495902444,56.58421070731763,53.64664873669909,54.14063262939453,78134000,22,0,30,7,2002
2002-07-23,54.37116538347213,54.82562717209381,52.52695674176078,52.65868377685547,74484100,23,1,30,7,2002
2002-07-24,51.45994462897199,56.06387792321893,51.163556316495296,55.800418853759766,107022800,24,2,30,7,2002
2002-07-25,55.50402674960856,56.54468733331235,53.74544533636556,55.326194763183594,87176600,25,3,30,7,2002
2002-07-26,55.75432816192355,56.597393379895955,55.1944806367136,56.38003921508789,41206800,26,4,30,7,2002
2002-07-29,57.63145684386121,59.50200685967683,57.49972980967237,59.12657928466797,53492900,29,0,31,7,2002
2002-07-30,58.8301906613757,60.20017392061264,58.43500453565157,59.89719772338867,47532200,30,1,31,7,2002
2002-07-31,59.60079910817548,60.29896639466415,58.78408051697431,60.04209518432617,44669900,31,2,31,7,2002
